Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM,Winner
KaBuM! e-Sports,S9,BR,21,76.2%,1.53,1939,280,30:20:00,16.3,10.6,8.2,3.3,61.9,71.4,2.67,70.2,-,0.48,47.6,01.05,0.7,2086,-,0.86,75.0,33.7,2103,3.3,1.35,1.47,0
paiN Gaming,S9,BR,21,47.6%,1.20,1781,-6,35:34:00,14.5,12.1,5.7,6.5,42.9,57.1,1.52,33.5,-,0.57,57.1,0.48,-0.1,368,-,0.52,42.5,32.1,1808,3.6,1.46,1.64,0
Redemption POA,S9,BR,21,33.3%,0.87,1750,-104,33:48:00,12.9,14.8,5.4,7.1,47.6,38.1,2.57,53.2,-,0.24,23.8,1.14,-0.4,-103,-,0.67,32.5,31.5,1746,3.6,1.36,1.25,0
Team oNe eSports,S9,BR,21,28.6%,0.73,1702,-170,32:03:00,9.4,12.9,4.3,8.0,52.4,42.9,1.62,38.7,-,0.33,33.3,0.71,-0.4,-778,-,0.48,30.0,31.9,1595,3.5,1.48,1.25,0
Uppercut eSports,S9,BR,21,52.4%,0.75,1781,-59,31:39:00,11.1,14.8,6.0,6.2,38.1,47.6,2.33,55.3,-,0.67,66.7,0.71,0.0,-963,-,0.57,43.7,32.6,1670,3.2,1.23,1.36,0
CNB e-Sports Club,S9,BR,21,47.6%,0.86,1755,-58,35:17:00,10.3,11.9,5.9,7.2,52.4,47.6,2.24,46.8,-,0.57,57.1,1.10,0.1,30,-,0.76,45.2,32.4,1750,3.5,1.46,1.44,0
Flamengo eSports,S9,BR,21,95.2%,1.80,1920,271,33:36:00,15.3,8.4,9.5,2.5,76.2,81.0,3.38,77.7,-,0.76,76.2,1.33,0.7,1891,-,1.14,90.0,33.6,1929,3.8,1.35,1.44,0
INTZ eSports,S9,BR,21,61.9%,1.29,1831,73,34:36:00,12.9,10.0,7.0,6.0,57.1,71.4,02.05,49.2,-,0.52,55.0,0.95,0.4,728,-,0.81,47.5,32.9,1720,3.4,1.44,1.39,1
KaBuM! e-Sports,S9,BR,21,42.9%,0.83,1784,-43,35:13:00,12.0,14.5,6.5,6.8,38.1,47.6,2.38,48.4,-,0.48,47.6,0.62,0.0,-392,-,0.67,36.5,32.8,1923,3.4,1.48,1.37,0
ProGaming eSports,S9,BR,21,9.5%,0.61,1642,-256,33:46:00,7.7,12.5,2.9,9.4,52.4,19.0,0.62,14.9,-,0.33,33.3,0.24,-1.1,-2319,-,0.19,10.8,31.7,1535,3.4,1.40,1.18,0
Redemption POA,S9,BR,21,57.1%,01.02,1777,-6,35:54:00,12.8,12.5,6.2,6.0,47.6,42.9,2.43,49.4,-,0.43,45.0,0.86,-0.2,-318,-,0.90,55.6,32.2,1910,3.6,1.62,1.43,0
Uppercut eSports,S9,BR,21,47.6%,0.95,1807,38,33:24:00,11.1,11.6,6.2,5.9,38.1,57.1,2.43,61.3,-,0.38,38.1,0.86,0.3,305,-,0.90,60.0,33.2,1694,3.2,1.22,1.34,0
Vivo Keyd,S9,BR,21,38.1%,0.95,1794,-18,35:47:00,13.7,14.3,6.0,6.5,38.1,33.3,2.43,52.4,-,0.48,47.6,0.76,-0.2,75,-,0.95,54.8,32.2,1907,3.4,1.43,1.36,0
CNB e-Sports Club,S8,BR,16,56.3%,0.94,1816,40,31:09:00,12.8,13.6,7.0,5.6,43.8,68.8,1.50,47.4,-,0.56,56.3,0.63,0.8,277,-,0.63,51.7,31.9,1715,3.0,01.07,1.21,0
Flamengo eSports,S8,BR,19,63.2%,1.16,1851,121,34:07:00,14.0,12.1,7.5,4.9,42.1,36.8,2.42,56.1,-,0.58,61.1,0.89,0.1,790,-,0.84,70.6,33.8,1971,3.6,1.29,1.54,0
